"","cell_1","cell_2","cell_3","cell_4","cell_5","cell_6","cell_7","cell_8","cell_9","cell_10","cell_11","cell_12","cell_13","cell_14","cell_15","cell_16","cell_17","cell_18","cell_19","cell_20"
"A1BG",0,0,0,0,0.539472,0,0,0,0,0.04669015,1.584885,0,0,0.075742,0,0,0,0,0,0
"A1BG-AS1",0.538414,1.29439,0,0.840925,0.7544835,0.160942,0.3548485,0.4697185,0.068225,0.3293775,0.769455,2.6404,0,0.1415907,0.6513975,0.328402,0.6045105,0,0,23.4517
"A1CF",0.14846,0,0,0,0.01600415,0.016266,0.0229042,0.104175,0,0.2672625,1.225413,0.01166605,0,0.00477259,0.0612801,0,0.0927025,0,0.0064525,0
"A2M",0.0805522,0,3.80648,0,0,0,0,1.427255,0,0,0,0,0.0264745,0.0143014,0,0,0.864233,0,0,0.380374
"A2M-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810485,0,0,0,0,0,0
"A2ML1",0.0982259,0.176565,0.181819,1.201135,0.981439,0.062154,0.412375,0.8170635,0.05185415,0.4251025,2.09761,0.3732425,0.191712,2.427715,0.282954,0.236553,0.78618,0,0.225352,0.4562325
"A2MP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0,0.1767355,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",0,0,0,0,0.074757,0,0,0,0,0,0.02547525,0,0,0,0,0,0,0,1.27386,0
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",68.346,0,0,0,0.0699995,0,0,0.0643495,4.530155,1.91952,0.09293205,0,0,0,0,0.100767,0.05935,0,23.7203,0
"AACS",0,0,0,0,0.149489,0,0.01361305,0.1385665,0,0,2.249735,0,0,0.746365,0.03038205,29.45855,2.37928,0,0,0.0256211
"AACSP1",0,0,0,0,0,0,0,0,0,0,0.500593,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0.2226155,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,1.556655,3.30665,0,0,0.1665925,0,0,1.89655,0,0,0,0.8142315,0,0.4610995,0,1.1793075,25.73435
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0.200201,0,0,0,0,0,0.184332,0,0,0
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0.082769,2.71169,0.0201422,0.47766,0.0861806,2.37942,0.098303,9.70482,0.9723605,0.1384026,97.94025,0,0,0,0,0.0329662,0.2685155,0,0.0397671
"AAED1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAGAB",0,0,0,0,0.180709,0,0.04127555,0,0,0,0.077383,0,0,0,0,0,0,0,0,1.58581
"AAK1",17.4401,0.586223,0.390328,0.356509,2.4647,0.963301,0.9334015,1.419225,3.343795,4.75611,2.65547,0.5619055,0.0954586,0.2135065,5.818605,0.466025,2.024185,0.27159,0.382063,3.082915
"AAMDC",0,0,0,6.70624,21.11915,0,14.19215,17.0067,0,0,0,0,54.2988,116.9475,0,0,0,0,0,0
"AAMP",2.01853,0,0.213738,0,0.317459,277.044,0,2.31372,0.174167,0,0.04034885,0,0,76.48865,110.4775,0.2005325,0.6741915,0.104028,0,0.1158605
"AANAT",0,0,0,0,0.0293819,0,0,0,0,0,0.2736655,0,0.518037,0,0,0,0,0,10.481655,0
"AAR2",1.74086,0,8.93851,0,0,0,0,3.37953,0.157677,0,0.140241,0,0,0.0322465,0,65.69205,2.54864,0,0,0.0325515
"AARD",3.71514,1.03363,0.27298,0.450665,2.43985,0.436357,1.3868235,2.982955,0.3467745,1.640275,5.58589,0.200341,0.67565,0.90161,1.44561,0.30254615,1.845255,0.3535785,0.187168,0.4516415
"AARS",6.70758,0,0,0.05636655,0.01503875,0,0.0109223,3.03534,12.08665,2.507795,2.1142,0.271705,25.5278,0,0,0,0.392445,0,0,2.021265
"AARS2",1.43136,1.16172,0.483667,1.43055,2.46531,2.06855,1.97648,2.555875,1.013926,1.769745,4.07658,1.408975,0.613442,3.98225,2.7409,1.66528,2.676325,0.444334,2.51489,0.753443
"AARSD1",0,0,0,0,0,0,2.479215,0.252844,0,0,1.448165,0,0,0,0,0,0,0,0,0
"AASDH",0,0,17.0308,0.02109235,0,0,0,0,0,0,0,10.987095,0,0,0.0190734,3.228805,0,0.0125158,0,0.0268509
"AASDHPPT",0.0403826,0,0,0,14.215765,8.68859,0.307677,0,42.4199,0.0158061,18.5681,0,0,0.0762621,65.7109,93.887,0,0.04485025,0.02381965,54.98115
"AASS",0.0611888,0.123648,0.0531599,0.3302515,0.939843,6.08475,0.537304,1.7241545,0.168368,1.0642465,3.65687,0.013723955,0.0738059,0.857106,0.337454,0.0067906,2.461815,0.02420105,0.3349575,0.1378725
"AATBC",0,0,0,0,0.763783,0,0,0.2490725,0,0,5.428165,0,0,0,0.3782535,0,3.33208,0,0,0
"AATF",0.0914919,0,0,0,0.03700475,0,0,0,0,0,0,0.156262,0,0,0,0,0,0,0.055359,0
"AATK",0,0,2.37465,0,0,0,0,0.03845005,0.1539389,0,0.01757144,0,0.100077,0,8.037585,0,0.321789,3.652895,0,0
"AATK-AS1",0,0,0,0,0,0,0,0.1550995,0,0,3.63952,0,0,0,0,0,0,0,0,0
"ABAT",0,0,16.089,20.95655,5.765125,23.4978,2.07351,0,19.6912,0.01909615,0.8325735,64.3955,0,0.0384011,0.0088778,6.267495,0.5336945,0,0.328876,0.0260148
"ABCA1",0.486407,0,0.0337996,0.0206251,0.276568,0.398217,0,0,14.6885,0,1.949365,0,0.0916494,0,0,0,0.4986355,9.70161,0.004075895,0.1851685
"ABCA10",0,0,0,0,0.2181335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA11P",0,0,0,0,0,0,0,0.370687,0.4036767,0,0,0.0189301,0,0,0,0,0,0,0,0
"ABCA12",0,0,0,0,0.993602,0,0.003125355,0,0,0,0.0161599,0,0,0,1.83493,0,0,0,0,0
"ABCA13",0.120657,0.160731,0.0755099,0.0508414,0.599268,0.0195823,0.5764225,0.7306975,0.1827045,0.4899805,1.84477,0.0377711,0.0343072,0.6435275,0.659951,0.0111793,0.524703,0.06356615,0.02230795,0.3017965
"ABCA17P",0,0,0,0,0,0,1.80174,0,0.02570875,0,0.760877,0,0,0,0,0,0,0,0,0
"ABCA2",0.0513531,0,0.360303,1.132545,0,0,0.7437245,1.33469,1.543775,0,1.22703,0,0,0,2.123915,0.04269225,1.95784,0,0,0.015313
"ABCA3",0.100578,10.9699,0.577165,0.0320048,0.0823985,0,0.1138615,1.398855,62.6982,0,0.376857,0,0,0.41065,0.3652575,0.112301,0.01094885,117.761,7.02786,0.0775425
"ABCA4",0,0,0,0,0.02003785,0,0.00984235,0.4000665,0,0.206819,0.367524,0,0,0,0,0,0.006189,0,0,0
"ABCA5",0.104456,0.359112,0.0529433,0.0407939,0.689478,0.395119,0.4208225,1.979605,0.05765585,0.5274225,3.1896,0.1519565,0.0729047,0.346059,1.41957,0.5126085,1.2869945,0.02601485,3.92446,0.1831493
"ABCA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA7",0,0,0,0.4899145,0.00820905,0.360799,0.286723,3.70985,0.0799355,29.98045,0.444688,0,0,0,4.269795,0,0.18233,0.0163815,5.186785,0
"ABCA8",0,0,0,0,0,0.0890189,0.010624155,0,0.03995285,0,0.0497701,0,0.443775,0,0,0,0.0285118,0,0,0
"ABCA9",0.144515,0.0925767,0.0455851,0.2880155,1.18259,0.0565654,0.713521,1.382605,0.292331,1.442245,1.91759,0.0276732,0.228432,0.0291581,0.6753955,0.4498025,2.11962,0,0.542474,0.5893555
"ABCA9-AS1",0,0,0,0,0.149239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0,0,0,0,0,0.0247715,0.5979065,0,0,0,0,0,0,0,0
"ABCB10",0,0,0,0,0.1996245,0,0,0,33.98035,0,0.2795475,0,0,0,0,0.01161585,0,0,0,0.746944
"ABCB11",0,0,0,0,0,0,0,0,0,0,0.0177173,0,0,0,0,0,0.7170255,0,0,0
"ABCB4",0,0,0,0,0,0,0,0,0,0,0.2852955,0,0,0,0,0,0.4014175,0,0,0
"ABCB5",3.02821,20.0223,0.301597,3.46339,3.51244,0.851916,1.93289,4.99903,1.0660305,1.43025,8.994815,1.16028,1.02593,0.952566,4.04254,2.792505,8.5639,1.748025,1.386585,2.344025
"ABCB6",0,0,0,0,0.133336,0,6.911435,5.932365,0,0,1.949285,0,0,0,0,0,0,0,0,0
"ABCB7",0,0,0,0,0.120045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB8",0,0,0.620236,0,0.506399,0,0,0.268088,0,5.982845,0.9261505,0,0,0.87886,0,0,4.17943,0,0.1668195,0
"ABCB9",0.828826,0,0,0,0,0,1.9736,0.0148621,0,0,0.7277805,0,0,0,0.0240216,0,0,2.701985,0,0
"ABCC1",0,0.0293201,0,0,0.3153915,0,0.344128,0.013773,0,0,0.00530305,21.235,0,0.0239815,0.014436,0,0,0,41.795,0.1356775
"ABCC10",0,0.0579095,0,0,0.3499475,0,0.3009595,0.133549,0,0,1.250415,0,0,0,0.06271015,0,0.103799,0.0177739,0.0384405,0
"ABCC11",2.7446,0,0,0,0,0.182665,4.128,0.146638,0,0,0,0,20.5796,0,0,0,4.978315,0,0,0
"ABCC12",0,0,0,0,0,0,0.375749,0.05012425,0,0,0.08687595,0,0,0,0,0,0,0,0,0
"ABCC13",0.0822385,0.243347,0.100495,0.197704,0.934348,0.0592937,0.2419745,0.4458705,0.0889407,0.321347,2.389415,0.211613,0.0405592,0.1269064,0.5382195,0.02623105,1.28408,0,0.3396005,0.1679745
"ABCC2",0,0,0,0.190422,1.922,0,0.1664865,0,0,0,1.24682,0,0,0,0,0,0,0,0,0
"ABCC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196887,0,0.07569735,0.0319745,0,0
"ABCC4",0,0,0,0,0,0,0,1.665225,0,0,0.654249,0,0,0,0,0,0,0.1717935,0,0
"ABCC5",0,3.43599,0,0,0.0316269,0,0,5.66492,0,0.0535505,6.573075,0,0,0,0.6132885,0,0.0413287,0,0,0
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6",0,0,0,0,0,0,0.03546515,0,0,0,0.00480125,0,0,0,0.1019955,0,0.822601,0,0,0
"ABCC6P1",0,0,0,0,0.0269516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0.138551,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0.669645,0,0,0,0,0,1.65467,0,0,0.07743595,0,0,0.3302685,0,0,0
"ABCC9",1.29759,0.556347,0.373626,1.4301,1.449305,0.952783,1.0103755,1.90401,0.3331095,1.54382,4.402885,2.75091,1.42458,6.091375,1.38765,0.07287195,5.18835,0.1706815,0.486437,0.188604
"ABCD1",0,0,0,64.846,0,0,1.382465,0.258331,0,0,1.3219185,0.521905,0,0,0.0450668,0,0.0086792,0,0,0
"ABCD2",0,0,0.0971246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011281,0,0
"ABCD3",2.0003,1.32151,0.565516,1.34664,5.105755,131.924,1.1949725,3.623555,12.8377,1.0778035,5.49455,0,0.723199,4.24443,3.13152,0.060421,7.871465,0,0.507602,0.2047615
"ABCD4",0,0,0,0.18055,0.385655,7.56535,0.129578,4.467505,30.92935,0,0.9504045,0,0,0,0.0268962,0,0,0,0,0.451076
"ABCE1",0,0,0,0.0197653,0,0,0,0.0709855,0.149222,0,5.40017,0,4.28229,0,1.0856535,1.927595,0.0246342,0,1.648405,0
"ABCF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF2",0.125755,5.89511,0.0395037,0.11884625,3.61194,1.47903,0.340275,0.5624735,0.0779783,0.2381405,1.116085,0.2484395,0.193501,0.194932,0.2122905,0.0250921,1.410085,0.728408,0.1663251,0.07061645
"ABCF3",0,0,0,0,0.01979055,0,0.031668,0,0.1765755,0,0.185814,0,0,0,0,0,0,0,0,0.34223
"ABCG1",0,0,0,0,1.33616,0,0,0.43813,0,0,0.2357,0.04212415,0,0,0,0,0.067747,0,0.31965,0
"ABCG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566057,0,0,0
"ABCG4",0,0,0,0.15078805,0,0,0.2501255,0,0.02049435,0,0,0,0,0.841499,163.274,0,7.772365,0,0,0
"ABCG5",0,0,0,0,2.798185,0,0,0,0,0,0.1451775,0,0,0,7.826355,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0.552386,0,0,0,0,0,0.846269,0,0,0
"ABHD1",0,0,0,0,0,0,0,0,0,0,0.0219122,0,0.159197,0,0,0,0,0,0,0
"ABHD10",0,0,0,0,0,0,0,0,0.01251425,0,0.0633465,0,0,0,0.02104325,20.54365,0,11.0489,0,0
"ABHD11",12.5674,2.34889,6.7333,5.21179,11.16496,5.72292,8.540265,8.836425,2.86849,1.7209,10.922045,1.0111275,0.512466,9.832075,2.61701,0.4899485,6.32656,0.964995,6.30298,5.320275
"ABHD11-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD12",0,0,0,0,0.0702335,0,0,0.02676385,0.078894,0,1.94456,0,0,0,0,2.613325,0,3.272465,12.4191,0.697818
"ABHD12B",0,0.785844,0,0,0,0,0,8.32604,0.3708815,0,0.0440861,0.055546,0,0,0,0,0,0,0,0
"ABHD13",0,0,0,0,4.165515,0.0266077,0,0,0,0,0,0,0.219585,0,0,0,0.0208083,0.0097991,0.010156,0
"ABHD14A",0,0.33544,0,0,0.2351625,0,1.60377,0,0,0,0.1186034,0,0,0,0,0,0,8.10071,639.4395,0
"ABHD14A-ACY1",0,0,0,0,0,0,2.655025e-09,4.1862742545e-32,0,0,0.03611915,0,0,0,0,0,0,0,3.00407e-07,0
"ABHD14B",0,0,0,0,0,0,0,0.055647,0,0,0,0,0,0,0.116104,0.087362,0.051253,0,0,0.1498003
"ABHD15",0.358097,2.62606,1.99709,4.839815,4.28804,3.08116,1.80525,9.962815,0.3135055,2.89981,4.617805,1.241185,0.421086,1.283845,2.55847,0.273524,3.26107,0.14396,0.3363915,2.20712
"ABHD16A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD16B",0,0,0,0,0,0,0,0,0,0.165296,0,0,0,0,0,0,0,16.46685,0,0
"ABHD17A",0,0,0,5.05848,0.2942415,0,8.01574,1.183975,0,0.1768135,0.835003,3.692555,0,0.1086665,0.2941145,68.8068,0,0.2701705,0.477432,4.26184
"ABHD17B",0.172257,0.473835,0.260585,0.0419509,1.96493,0.122266,1.105891,1.893495,16.63585,3.026285,6.20915,0.8109645,0.0226659,0.577002,0.4802715,1.29281,2.52432,0.469842,0.2084,0.423629
"ABHD17C",0,0,0,0,0,0,0,0,0.03673475,0,0,0,42.8761,0.0818265,0,0,0.7128345,0,0,0
"ABHD2",0.696133,0.401672,0.159686,0.4169175,1.467925,17.1909,1.621625,10.202455,14.01475,1.138105,4.96728,0.249312,3.80991,0.5123165,1.0266455,1.075895,1.0071395,0.2873995,0.4307165,1.152562
"ABHD3",0,0,0,0,0,0,0,0,0,0,1.3172,0,0,0,0,0.0408548,0,0,0,0
"ABHD4",0,0.0811097,0,10.96832,1.2494635,0.122788,0.03329385,0.0361316,0,0,1.34394,0,0.2291,0,0.09572645,0.059199,0,0,0,0.0687455
"ABHD5",0,0,0.0642567,0,0,0,0,0,0.01665345,0,1.679315,0,0,0.2959585,0.009171,0,0,1.399655,0,0
"ABHD6",0,0,0,0,0,0,0,0.12169895,0,0,0,0.02180755,0,0,0,0,0,0,0,0
"ABHD8",0,0,0,0,0,0,0,0,0,0,2.084915,0,0,0.174752,0.803286,0,0.03337825,0,0,0
"ABI1",13.4327,0.0219117,1.42647,0.01165345,0.5247575,2.02703,1.449025,0.05235395,0,0,0.09494,0.0180833,0.243168,0,0.03280725,0,0,0.0394171,0,0.02016785
"ABI2",1.4717,48.4651,2.8754,0.667425,2.055105,3.7163,0.8843065,3.257235,10.33898,1.56111,14.5013,10.087595,0.841565,0.839612,8.18282,0.364132,9.702555,1.598065,1.092779,2.41272
"ABI3",0,0,0,0,0,0,0,0,0,0,0.01241685,0,0,0,0.063912,0,0,0,0.1045285,0.125025
"ABI3BP",0,0,0,0,0.837757,0,0,0,0,0,0,0,0,0,0,0,0.1530695,0,0,0.0304971
"ABL1",0.169529,0,0.478602,0.178564,0.137897,0.134038,0,0.03342065,0.5422655,0,3.4119,14.93,0,0,0,1.757495,7.702575,0,166.659,5.423625
"ABL2",0.476474,0.781711,0.489527,0.379561,2.65675,1.63668,1.660715,4.01093,1.157015,1.207835,7.1216,0.356234,0.767823,1.893565,1.7741,20.632,11.16555,0.186934,13.27315,0.6579295
"ABLIM1",0.0873749,0.058522,0,0.365033,0.00719705,0.0577203,0.010360915,2.75514,23.49575,0.0328613,0.3425245,0.0147827,13.5351,0.1237084,0.029636,0,10.44673,0.0184699,10.49665,0.257647
"ABLIM2",0,0,0,0,0,0,0,5.352395,60.1867,0,2.136805,0,0,0,0.175843,0.09956395,1.381935,0.056397,31.0657,38.804
"ABLIM3",0,0,0,0,0.3770995,0,0,0.2415055,31.42545,0,0.3001215,0,0,0.02773515,3.465755,93.7906,0.01160615,0.04670785,0,0
"ABO",0,0,0,0,0.2770695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABR",5.84103,0,1.03855,70.8936,0.8256335,0.106918,0.256654,17.5975,0,0.2478407,8.491255,64.38685,2.30996,0.0605985,0.0698976,0,7.673145,0.1018897,0,0.0374292
"ABRA",0,0.0285743,0,0,0,0,0,0.02197755,0,0,0.0376693,0,0,0,0,0,0,0,0,0.01614375
"ABRACL",0,0,0,0,0,0,0.9722815,0,0,0,0.1098515,0,204.861,0,15.0636,603.8735,0,0,0,0
"ABT1",0,0,0,0,0,0,0,0.03758125,0,0,0.257001,0,0,0.0589595,0,0,0,0,0.2017305,0
"ABTB1",0,0,0,0,0.254843,0,0,0.312614,0.216991,0,0.1194345,0,0,0,0.283635,0.1199305,0,0,0.1660955,0
"ABTB2",0,0,0,0,0,0,0.4120005,0.0323862,0,0,0.541811,0.03147385,0,0,0,0,0,0,0,0
"ACAA1",0,0,0,0,0,0,0,0.05909,0.0579205,0,1.303395,12.72885,0,0.20678,4.878835,0.6257565,1.0086055,0.2921285,0.1352125,0.816615
"ACAA2",0,0,0,0,0,0,0,0.0256156,0,0,0,0,0,0,0.0407698,0,0,0,0,0
"ACACA",0.80453,1.23388,0.216902,0.235746,0.866815,0.246394,0.425819,0.723657,0.597539,0.7173885,2.29033,0.3655165,0.020459,0.324392,0.4169535,0.3007695,0.9533465,0.451042,0.1989025,0.4229345
"ACACB",1.61275,0.243041,0.221304,0.133909,0.3033675,0.0324263,0.3616385,0.399103,0.03503685,1.51769,0.7407445,0,0,0.4138325,0.396551,0.1163802,0.7091005,0.06915045,0.1199536,0.32994
"ACAD10",0,0,0,0,0,0,0,0,0.195457,0.0140218,0.950083,0,0,0,0,0,0,0,92.08145,0
"ACAD11",0,0,0,0,0.03256945,0.752397,0.02501895,0.9469555,0,0,1.0392645,0,0,0.44539,0.0108226,0,0.08456295,0,0,0.0279021
"ACAD8",0.100129,0,0,0,0,0,0,1.629065,0,0,0,57.94955,0,0,0.2202875,0,0.219849,40.36485,0,0
"ACAD9",0,0,0,0,0,0,0.4257745,0,0,0,0.607577,0,0,0,0,0,0,0,0,0
"ACADL",0.167701,0,0,0,0,0,0.1197805,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",0,0,15.2088,0.01656505,0.6654655,0,0,27.05525,0.02541135,0,1.51439,67.4937,0.865572,0,0.0242653,0,0,0,65.65975,0
"ACADS",0,0,0,3.590755,1.867375,0,0,0.150464,21.99225,0,1.987935,0,0,0,0,0,0,0,0,0
"ACADSB",0.898225,0.93373,0.828021,1.659895,2.090405,1.85852,1.596135,2.819205,0.678732,0.9648945,4.31226,0.0719404,0.0210871,4.93991,0.136711,83.82025,3.536015,0.293802,0.17131915,0.462021
"ACADVL",0,0,0.330722,0,0,0,0,0,0.2169675,0,2.108415,0.1453295,0,0,0.051385,0,0.072462,0.074222,0,196.774
"ACAN",0,0,0,0,0.09026415,0,0.85663,0.01033205,0,0,0.2071835,0,0,0,0,0,0.08657525,0,0,0
"ACAP1",0,0,0,0,0,0,0,0,0,0,1.1197755,0,0,0,0.0475635,0,0.8589475,0,11.02655,0.0949655
"ACAP2",0.150712,0.0273862,0.0491416,0.2603365,0.865494,0.193959,1.055412,3.61661,0.0160357,1.09552,1.80713,0.03023815,1.89472,0.5313515,1.521695,0.0437179,1.60684,0.212285,0.2143165,0.5200305
"ACAP3",0,0,0,1.0613965,0,0,1.453815,0.06453035,0.998313,0,1.1050515,0,0,0,0,0.03033435,2.553365,0,0.7125165,0
"ACAT1",0,0,0,0,4.535315,0.510544,0.0153609,0.02358595,0.2154085,0.03940965,0,0.0144769,0,0,0,0,0,0,10.56556,0
"ACAT2",1.62435,237.398,0,8.851285,3.301185,0,0.424625,7.28633,124.005,0,10.072175,16.3873,0,390.9965,1.1481855,0.1092677,0.13314,35.1489,0.0674725,0.0687935
"ACBD3",0.0356625,0,0,0,7.221265,0.0500667,0,0,1.700685,0.0228648,3.341515,0,0,0,0,0,0,0,0.02004665,0
"ACBD4",4.12329,1.62296,4.35118,1.7030475,9.407185,11.7881,13.0564,7.481625,14.3033,8.588875,12.60385,3.348855,3.76297,20.10965,3.86576,4.06954,8.3158,11.10629,3.15361,8.235075
"ACBD5",0.817034,0.509524,0.402649,0.09138065,1.331145,0.284979,0.35783,1.1751725,0.2105155,0.5851215,3.000495,0.19815,0.164348,0.04035325,1.421995,1.262515,2.097895,0.0394408,6.544135,0.2571675
"ACBD7",1.18381,1.7159,0.489785,1.176245,4.26251,2.87382,1.927335,3.76998,0.7638145,4.28956,8.17125,1.0494495,0.198412,1.394815,2.22576,3.2345,8.783985,2.707195,25.55365,6.09434
"ACCS",0,108.069,0,0,0.058631,0,0.0492086,13.80515,0,0,0,0,0,0,0,0.0924015,0,0,0,0
"ACCSL",0,0,0,0,0,0,0,0,0,0,0.5231485,0,0,0,0,0,0,8.674635,0,0
"ACD",550.743,0,0,0.0721965,0,0,21.2504,1.94735,0.04963035,0,1.534085,0.04596445,0.180275,0,0,0,0,460.0375,186.2445,0
"ACE",0,0,0,0,3.315995,0,0,0.2337035,0,0,0.2888465,0,0,0,3.397415,0,7.85508,0,0.0270063,0
"ACE2",0,0,0,0,0,0,0,0,0,0,0.02751485,0,0,0,0,0,0,0,0,0
"ACER1",0,0,0,0,0,0,0,0,0,0,0.077579,0,0,0,0,0,0,0,0,0
"ACER2",0,0,0,0,0,0,0,0.500164,13.07645,0,0.127971,0,0,0,0,0,0,0,0,0
"ACER3",1.53334,1.49446,0.548257,0.7919435,3.697555,1.97191,1.590955,3.37263,2.90488,1.31858,14.1789,0.694812,0.696314,1.71918,3.29624,1.59261,6.54593,3.14878,1.0513855,1.895705
"ACHE",0,0,0.272808,0.086494,18.9612,0,0.74371,0.078778,308.5375,0,2.85379,0,0.237359,0.4631675,3.7454,149.0505,14.6789,341.0895,76.07685,0
"ACIN1",0,0,0.845596,0,0.9090115,3.20355,1.23528,0,0.1265345,0,2.655275,9.37146,0,35.28165,2.442025,0.03348175,4.281775,0,12.4332,0.0823315
"ACKR1",0,0,2.90032,0,0,0,0.03999675,10.08701,0.5181405,0,0,0,0,0,0,0,0.1734765,0,0,20.7287
"ACKR2",1.06327,1.54224,2.09963,1.64265,1.86349,0.528109,1.959495,2.725985,1.116235,3.31551,4.407485,0.7794175,0.245069,1.11365,1.55175,0.556044,2.962605,0.444383,0.83378,2.723415
"ACKR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACKR4",0,0,0,0,0,0,0,1.208041,0,0,0,0,0,0,0,0,0,0,0,0
"ACLY",0,0,0,0,0.1462555,0,0,14.1653,49.7918,0.02619915,6.687185,0,12.6657,0,0.04026765,2.8731,0.0328794,24.80695,8.9507,8.743865
"ACMSD",0,0,0,0,0,0,0,0,0,0,0.0441691,0,0,0,0,0,0,0,0,0
"ACO1",0.294835,0,0,0,2.058765,0,0,0.0256744,7.457025,0,0,0,0,0,0,0,0,0.0295901,6.08089,0
"ACO2",0.206676,0.163959,0,1.596405,0.918088,23.2603,23.38765,0.5263585,4.994535,0.6957725,0.2584715,0.358714,0,49.7186,0.300262,1.0758,0.3202715,33.41305,100.53855,0
"ACOT1",0,22.8531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT11",0,0.305526,0,0,0,0,0,0,0,3.65664,0.97856,0,0,6.23585e-12,0,0.0490786,0.1494985,0,0,0
"ACOT12",0,0,0,0,0,0,0.6760675,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT13",11.8504,1.69332,2.11573,0.2422065,1.1543425,6.36363,1.4224375,1.164638,5.993335,5.86174,3.210075,1.370005,1.88175,2.65102,0.395292,95.9983,1.1587025,5.22947,1.66372,0.1113535
"ACOT2",0,26.4062,0,0,0,0,0,0,0.104004,0,0.03358405,0,0,0,0,0,0,0,0,0
"ACOT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT6",0,0,0,0,0,0,0,0,0,0,1.254035,0,0,0,0,0,0,0,0,0
"ACOT7",0,0,0,0,43.1452,0,0,0,417.01,0,0.07943135,0,0,0.070384,1.576415,23.41045,5.432295,0,0,142.5085
"ACOT8",0,0,0,0,0,0,0.04360425,0,0,0,0,0,0,0,0,100.08915,0,0,0,0
"ACOT9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452871,0,0,0,0,0
"ACOX1",7.11089,0.1224,15.6332,0.3815625,1.89899,1.22199,0.6299965,8.959805,0.2729745,0.6950505,2.497955,0.5985455,0.387616,0.768891,0.789111,0.430552,1.332635,0.0998907,9.689835,0.3342745
"ACOX2",0,0,4.49039,0,0,0,4.049935,0,0,0,3.556345,0,0,0,0,0,0,0,0,0
"ACOX3",0,0,0,0,3.92276,0,0,0.03343775,0,0,0,0,0,0,0.433584,0,0,0,0,0
"ACOXL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP1",0,0,0,0.191985,0,0,0,13.57565,12.2726,0,0.03916375,0,0,0,13.16795,0,5.6688,0,0.03176585,0.135459
"ACP2",0,0,0,0,3.98068,0,0,0,3.92206,0,0.6181355,0,0,0,0,0,0,0,0,0
"ACP5",0,0,0,0,0,0,0,0,0,0,0.390918,0,0,0,0,0,0,0,0,0
"ACP6",0,1.89861,0,0,0,0,0,0,0,0,0,0,0,0,0.8749615,0,0,0,0,0
"ACPP",0.229328,0,0.0693797,0.12689,0.0933166,0,0.00942205,0.0492752,0.0125188,0.01512125,0.0708953,0.1161178,0.0263279,0.0328355,0,0,0,0,0,0
"ACPT",0,0,0,0,0,0,0,0,0,6.00103,0.0977409,0,0,0,0,0,0,0,0,0
"ACR",0,0,0,0,0,0,0,18.07775,0,0,0.091464,0,0,0,0,0,0.066787,0,0,0
