"","cell_1","cell_2","cell_3","cell_4","cell_5","cell_6","cell_7","cell_8","cell_9","cell_10","cell_11","cell_12","cell_13","cell_14","cell_15","cell_16","cell_17","cell_18","cell_19","cell_20"
"RPGRIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231348,0,0,0
"RPGRIP1L",0,0,0.0483283,0,0.0157314,0,0.0308725,6.948165,0.0052297,0,0.327813,0.004388615,1.1592,0.0079359,0.0370864,0,0.04412195,0,0,0.1969795
"RPH3A",0,0,0.0548338,0.175042,0,0,1.288035,0.0573964,0,0.02615675,0.08657195,0,0,0.0355827,0,0,0.3854615,0,0.1140105,0.03418435
"RPH3AL",1.53723,0.705368,1.13065,1.499795,3.15453,0.496064,1.597978,1.897775,1.167365,5.97737,2.247805,2.194435,0.469605,1.98594,2.361745,1.216918,1.040695,0.0758105,0.03519365,0.374976
"RPIA",0,0,0,0,0.0311924,0,0,0.0294947,0,0,0.3414185,0,7.18379,0,0,0,0,0,0,0
"RPL10",6.96732,4.39994,13.4882,0.1569653,64.50865,2.48139,83.9311,0.2425195,77.09585,1.38754,14.9507,315.189,46.5388,327.663,0.47856895,73.97605,7.030085,93.0739,0.02837155,4.496735
"RPL10A",3.97592,1.29705,0,0,100.8738,0,78.1198,98.92165,114.236,3.71599,20.72525,88.5899,79.8269,0.601205,353.31,123.4435,54.31685,2.17084,36.1069,1.47248
"RPL10L",21.954,0,0,0,4.00702,0.514455,0.159462,0,0,0,0,0,0,6.13172,0,0,0.527008,0,0,1.7567
"RPL11",436.34,258.502,196.223,58.7167,214.6315,411.263,55.6058,54.5222,68.83595,226.703,100.1789,374.4745,206.006,0.4807155,59.5156,975.3445,14.07985,103.63335,89.8552,329.924
"RPL12",16.1404,0,80.1752,59.7142,75.86005,13.3754,34.7554,74.35645,241.1745,2.65252,37.77115,14.7727,18.115,7.84196,0.6922215,498.1625,72.43735,1.3637515,167.856,0.514125
"RPL13",117.328,23.7275,102.605,17.39255,38.2123,3.07332,12.79925,11.0263,50.5385,3.49473,9.175575,28.96875,37.8714,1.0400875,0.7003895,263.5775,2.4195,65.03735,74.0437,2.78767
"RPL13A",3.10928e-06,4.44491,3.20474e-06,1.67939e-06,5.90473,1.4912,0.4603205,11.22907,496.159,2.60313e-06,27.1431,674.4945,24.6736,5.36316e-06,3.34311,367.477,5.321815,1.209714,1.55231,18.61275
"RPL13AP17",0,0,0,0,0,0,4.906785,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL13AP20",0,0,0,0,0,0,0,0,0.637847,0,0.063403,0.4457235,0,0,0.1055195,0,0.196178,0,0,0
"RPL13AP3",0,0,0,0,0,0,0,0,0,0,0.487017,0.0303411,0,0,0,0.0414405,0.730198,0,0,0
"RPL13AP5",143.605,163.163,503.157,14.2861,177.803,118.516,196.054,102.10295,503.5075,18.64845,102.1888,1369.07,676.659,63.727,1409.995,159.7505,45.4708,1.43671,115.445,2612.515
"RPL13AP6",0,0,0,0,0,0.744059,0,0.220973,0,0,0.2154645,0.864469,0,0,0.441273,0,0,0,0,0.968809
"RPL14",0.547501,0,7.47918,0.232535,63.54625,1.05728,0.2012995,2.60194,30.393,0.153177,69.74295,239.599,0.354571,105.509,0.91652,305.6075,0.1325225,0.25827,122.009,58.59385
"RPL15",3.41911,61.0025,34.455,5.795675,28.007,110.376,49.3897,89.95965,28.0751,6.654995,56.47635,254.5005,66.9611,48.21745,54.39675,314.348,7.644225,68.90565,36.72145,384.517
"RPL17",49.6538,1.39825,60.0621,0.584454,75.64155,293.2,85.4723,35.06665,438.2795,144.784,41.442,29.1488,19.7889,0.410215,66.27865,15.4681,27.0058,1.9922035,251.3215,0.921435
"RPL17-C18orf32",1.63769e-23,6.50443e-10,6.54005e-97,5.6879e-51,0.0002868395,3.19487e-118,6.9375e-76,0.181766035,0.0001152865,0.001546285,0.001388798605,2.69831805e-89,1.01875e-140,1.59368e-51,1.2972556e-97,0.0004701765,22.28505,1.712665e-72,2.94177170425e-23,1.19031e-35
"RPL18",242.923,73.1085,78.4287,0.227876,49.772,54.35,34.961,33.85005,386.503,164.1285,48.6262,57.0423,88.6289,71.14065,7.02548,167.1925,80.75865,116.9035,461.0515,70.20695
"RPL18A",150.629,23.2488,166.409,3.91432,380.466,18.6318,247.2215,376.084,85.02085,40.7058,65.0041,1030.295,52.3278,0.4977265,8.522815,1151.65,103.03955,4.25245,258.368,1170.91
"RPL19",979.589,0.412398,246.169,130.27,55.2954,136.695,193.553,141.065,785.4225,5.894375,46.8838,134.2805,440.942,0.735055,50.14695,513.7985,42.59775,2637.17,1315.4,3.0619
"RPL21",1.23094,136.877,2.69242,324.777,219.054,252.53,137.1335,111.267,912.2855,0.0786224,36.8486785,444.848,20.2986,527.3455,573.27,1096.83,12.687135,1545.11,0.15992085,0.0754224
"RPL21P28",3.60694,88.5897,174.668,0.341415,77.848047,254.559,15.63762065,18.410489,0.4441855,23.52785,136.96455,7.73193,0.222407,0.411386,0.543433,0.9961115,33.7319,0.572402,189.487,1.7288415
"RPL21P44",0.398324,0.0500254,0,0.3182305,0.5806015,0.327135,0.1400438,0.711627,0.04500935,0.8016475,1.19422,0.11098265,0.0444698,0.116689,0.412838,0.07789475,0.19991435,0.453501,1.36358,0.2473575
"RPL22",43.7504,16.0049,7.83183,0.03595355,2.0424,6.86452,6.97905,4.114535,6.168165,3.20723,3.52994,33.2919,10.6951,346.505,8.047565,5.881895,0.504042,0.09989005,3.09244,0.11146075
"RPL22L1",0.139997,0,9.02783,0,0.8227065,0,0.1328956,0.0252998,0,0.0958275,0.963351,0,0,0,0.4667935,0.02153675,0.0345101,0.01994025,0,0
"RPL23",520.222,17.8238,225.336,121.544,310.366,141.536,412.2445,246.1105,244.1325,304.403,118.2745,161.3275,245.005,595.7025,129.115,1219.77,304.5055,1546.89,761.857,484.267
"RPL23A",51.4535,23.3716,15.943,0,36.6581,0,5.119585,15.97085,88.54525,0.3778495,0.654075,96.6958,23.543,0.156198,19.71125,1.879455,6.75691,0.2588975,142.437,14.97535
"RPL23AP53",0.649736,0.135056,0.168064,2.03007,1.69684,0.452189,2.276995,1.54721,0.07860245,31.14335,5.16502,0.6619465,0.186034,0.201054,17.31035,0.6835345,5.689325,0.03562695,0.471917,0.4627055
"RPL23AP64",14.7842,0.326594,0.455113,1.921895,2.87896,1.13349,0.4528395,1.610845,0.3575545,1.178782,1.7416045,1.0995945,0,0.4688085,1.125438,0,2.153065,0,0.123291,0
"RPL23AP82",1.41954,0,5.42357,0.677636,6.86545,1.1341,1.681644,6.012615,0,1.88315,5.8827,28.63835,4.42378,0.5881385,3.300275,0,8.983145,1.488535,0,0.0792065
"RPL24",14.3928,301.306,344.294,327.7055,229.3755,347.685,46.63585,117.245,61.3689,0,20.47835,0.39913,209.8,0,0.702085,331.3055,87.3361,21.23725,8.775345,590.5375
"RPL26",0,282.232,18.889,0,107.7935,527.89,7.998685,8.492875,104.329,200.173,121.13,283.8685,0,0.342739,1.219255,917.0875,0.87777,486.7895,1.76116,0.4833105
"RPL26L1",0,0,3.15913,301.239,2.358935,0,0,6.526585,45.34165,0,0.080982,0,0,0,0,1.037033,8.95447,0,73.98005,0
"RPL27",523.403,66.7337,74.6708,57.8114,229.64,4.88197,135.135,37.07915,1078.355,171.8515,48.95785,253.538,24.4643,1327.615,57.97095,767.733,11.9751,456.388,879.7005,386.0135
"RPL27A",8.73798,0.403133,5.15116,3.371495,23.65415,2.38997,5.557515,6.832405,1.042352,7.207725,6.83492,8.61883,4.477,17.1131,12.09785,4.6454,9.608035,3.61664,0.7441595,1.80685
"RPL28",262.903,197.113,57.4416,0.79482,42.01405,247.646,37.65955,0.926116,67.549,10.72122,2.311155,5.087895,164.659,5.420775,4.996585,519.517,81.5772,0.138817,0.655532,281.096
"RPL29",406.207,0.866066,258.118,33.18145,93.62485,214.797,205.6115,45.36385,640.6225,2.538815,136.447,0,0,414.721,418.6405,122.146,71.72305,56.15255,41.32515,12.5473
