"","Sample","uniquely_mapped","total_reads","exon_sums","intron_sums","spike_in_sums","intergenic","unmapped","genomic","exon_pct","intron_pct","spike_in_pct","intergenic_pct","genomic_pct","FTC","FTC_simple","num_genes_cpm_10","num_genes_exon_cpm_10","num_genes_exon_tpm_5","num_genes_exon_tpm_5_resids","num_genes_bardy_tpm_5","cap"
"1","C003",13248030,16432898,1275719,1191040,5867946,4913325,3184868,6104365,9.62949963126593,8.99031780574168,44.2929703510635,37.0872122119289,46.0775300176706,1,1,2785,1731,1752,-1603.65408491398,1916,19.9017330952629
"2","C004",11744611,16280874,2486561,917882,3891514,4448654,4536263,5366536,21.1719315352377,7.81534611916904,33.1344648196522,37.878257525941,45.6936036451101,5.1,5,4838,3559,3551,188.933270809863,3425,36.0172158610043
"3","C013",11648467,23527158,4769053,2655797,487,4223130,11878691,6878927,40.9414646579674,22.7995409181311,0.00418080765477552,36.2548136162467,59.0543545343778,4.1,4,4890,3258,3369,-486.793323816974,3039,19.2471223601007
"4","C014",849404,19220502,367643,154117,243,327401,18371098,481518,43.2824662940132,18.1441340045491,0.0286082947572651,38.5447914066804,56.6889254112295,5.1,5,2642,2044,1970,-1724.47612757794,NA,NA
"5","C016",17926895,26416118,8315623,3856643,1903,5752726,8489223,9609369,46.3862983522802,21.5131677850515,0.010615335226764,32.0899185274416,53.603086312493,3,3,5681,3490,3671,-202.94253744279,2608,24.2259180600157
"6","C022",15486025,30588304,7427992,2929674,747,5127612,15102279,8057286,47.9657755944473,18.9181794553476,0.00482370395243453,33.1112212462527,52.0294007016003,5.1,5,7149,5463,5615,1646.18802685868,NA,NA
"7","C024",7327417,12724273,2942045,1660396,431,2724545,5396856,4384941,40.1511883382644,22.6600451427836,0.00588201817912096,37.1828845007729,59.8429296435565,4,4,5874,4340,4379,812.578414091218,4283,18.0163245066219
"8","C028",14381105,23522514,4589040,4458953,2991,5330121,9141409,9789074,31.9102043966719,31.0056355196628,0.020798123649052,37.0633619600163,68.0689974796791,2,2,5854,3149,3283,-514.114269786707,2692,38.3169154383543
"9","C042",4299578,8978781,1630837,1212192,7504,1449045,4679203,2661237,37.9301643091485,28.1932785031461,0.174528756077922,33.7020284316275,61.8953069347736,2,2,3496,2102,2190,-1095.5444470143,2193,18.2382437406715
"10","C044",11875933,16241778,6463823,2411297,313390,2687423,4365845,5098720,54.4279173686817,20.3040636891434,2.63886635264783,22.6291525895271,42.9332162786705,1,1,3845,2571,2710,-743.385744489687,2172,39.252652900104
"11","C045",10883999,13323244,4877823,2103924,23780,3878472,2439245,5982396,44.8164594649448,19.3304317650158,0.218485870864192,35.6346228991752,54.965054664191,2,2,4617,3221,3372,-83.1336332053779,2896,14.2268398799978
"12","C046",12587827,14969212,6288771,1912783,38629,4347644,2381385,6260427,49.9591470394374,15.1954979997739,0.306875841239318,34.5384791195494,49.7339771193233,2.1,2,4626,3446,3631,135.794782896899,3110,35.952997146122
"13","C053",19311977,32908583,8620143,3546379,62616,7082839,13596606,10629218,44.6362534503847,18.3636248116907,0.324234023269601,36.675887714655,55.0395125263457,1.1,1,5691,3260,3553,-295.080860549384,2699,17.1519268356856
"14","C055",10479955,15041433,4744478,1957459,17366,3760652,4561478,5718111,45.271931034055,18.6781240949985,0.165706818397598,35.8842380525489,54.5623621475474,2.1,2,4525,3153,3429,-90.8776127347469,2963,12.4909178008859
"15","C057",16793006,22406295,8570887,1983731,40000,6198388,5613289,8182119,51.0384323092602,11.8128404170165,0.238194400692765,36.9105328730306,48.7233732900471,1,1,2848,2024,2179,-1507.16981170973,1664,6.12227267903592
"16","C060",3752328,4232998,1549715,730208,8481,1463924,480670,2194132,41.3000942348324,19.4601324830878,0.226019686978324,39.0137535951015,58.4738860781893,5,5,5321,3951,3857,919.660773161804,4103,34.4643592432198
"17","C061",2098345,4733079,868345,403750,3585,822665,2634734,1226415,41.3823751575647,19.2413544960433,0.170848930943196,39.2054214154488,58.4467759114922,5.1,5,4653,3504,3384,386.134538525808,4116,46.905716643559
"18","C063",1586381,4132335,462005,303301,5412,815663,2545954,1118964,29.1232055855434,19.1190514762847,0.341153859003606,51.4165890791682,70.5356405554529,2,2,3802,2195,2032,-879.46094140795,2993,61.1221851144411
"19","C086",2478186,4807978,1119401,427218,11022,920545,2329792,1347763,45.1701768955195,17.2391418561803,0.444760804879053,37.1459204434211,54.3850622996014,3,3,3966,3024,2956,-13.9986607789389,3323,24.1735072601993
"20","C098",5165193,5793625,2206786,918621,13298,2026488,628432,2945109,42.7241731335112,17.7848339839383,0.257454077708229,39.2335388048423,57.0183727887806,5.1,5,4121,2780,2913,-160.975703559041,2692,38.1319400492083
"21","C099",5210306,5923082,2295658,1005132,5091,1904425,712776,2909557,44.0599458074056,19.2912278088849,0.0977101920693334,36.5511161916402,55.8423440005251,5.1,5,5738,4155,4146,1026.68731653375,4051,17.9688785309701
"22","C100",3146295,4667086,1582486,500323,13314,1050172,1520791,1550495,50.2968094218756,15.9019735911604,0.42316438859039,33.3780525983736,49.280026189534,5.1,5,2826,2022,2066,-892.417452915884,2039,35.3890856225964
"23","C101",4191315,5178405,1747264,790931,53444,1599676,987090,2390607,41.6877280757948,18.8707124136458,1.27511294188101,38.1664465686783,57.0371589823242,1,1,3033,2000,2094,-870.971711313391,2136,11.7705759321021
"24","C105",4584940,5539480,1906767,757220,1,1920952,954540,2678172,41.5876107429977,16.5153742469912,2.18105362338438e-05,41.8969931994748,58.412367446466,2,2,3952,2377,2444,-952.179697359408,2468,16.8129768017057
